indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Харківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,1711400.0,1952600.0,1803400.0,1628500.0,1752300.0,,,,999700.0,,6
Обсяг утворених відходів,Хмельницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,500200.0,,799800.0,825100.0,1068900.0,4
Обсяг утворених відходів,Сумська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,840000.0,672600.0,580400.0,852200.0,863800.0,,,,552200.0,,6
Обсяг утворених відходів,Херсонська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,370700.0,354200.0,373000.0,336200.0,354600.0,,,,5100.0,,6
Обсяг утворених відходів,Чернівецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,0.0,,100.0,100.0,100.0,4
Обсяг утворених відходів,Херсонська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,67900.0,,4200.0,3500.0,142500.0,4
Обсяг утворених відходів,Хмельницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,960400.0,1297400.0,924800.0,897800.0,899000.0,,,,895800.0,,6
Обсяг утворених відходів,Сумська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,728500.0,,437300.0,445500.0,298800.0,4
Обсяг утворених відходів,Рівненська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,843300.0,713200.0,457700.0,484200.0,519900.0,,,,511000.0,,6
Обсяг утворених відходів,Миколаївська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,62600.0,62800.0,16300.0,21500.0,18800.0,,,,51000.0,,6
Обсяг утворених відходів,Полтавська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,98022600.0,,40529400.0,22886400.0,42876700.0,4
Обсяг утворених відходів,Миколаївська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,2502100.0,,572500.0,349900.0,305300.0,4
Обсяг утворених відходів,Чернігівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,498400.0,,246200.0,306700.0,477200.0,4
Обсяг утворених відходів,Херсонська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,46600.0,34500.0,26800.0,56300.0,21300.0,,,,200.0,,6
Обсяг утворених відходів,Львівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,2953300.0,2773800.0,2483100.0,2139300.0,2047100.0,,,,1538600.0,,6
Обсяг утворених відходів,Хмельницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,500.0,2200.0,3400.0,2700.0,1400.0,,,,2600.0,,6
Обсяг утворених відходів,Рівненська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,800.0,600.0,600.0,500.0,700.0,,,,1400.0,,6
Обсяг утворених відходів,Рівненська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,700.0,,300.0,700.0,1700.0,4
Обсяг утворених відходів,Чернігівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,497900.0,,246000.0,306200.0,476800.0,4
Обсяг утворених відходів,Тернопільська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,11100.0,9100.0,11900.0,14900.0,12900.0,,,,200.0,,6
Обсяг утворених відходів,Черкаська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,1123500.0,,1329200.0,1524300.0,1412900.0,4
Обсяг утворених відходів,Львівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,3121100.0,,2492900.0,2857600.0,2174400.0,4
Обсяг утворених відходів,Черкаська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,700.0,700.0,600.0,800.0,800.0,,,,1200.0,,6
Обсяг утворених відходів,Черкаська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,1124200.0,,1330000.0,1525300.0,1414200.0,4
Обсяг утворених відходів,Сумська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,580300.0,,374100.0,419300.0,294800.0,4
Обсяг утворених відходів,Чернігівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,700.0,1000.0,700.0,800.0,700.0,,,,1200.0,,6
Обсяг утворених відходів,Миколаївська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,2306100.0,2366400.0,2327900.0,2410200.0,2327300.0,,,,345600.0,,6
Обсяг утворених відходів,Чернівецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,398100.0,388500.0,369000.0,308000.0,318700.0,,,,121800.0,,6
Обсяг утворених відходів,Одеська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,456200.0,,203600.0,195200.0,227400.0,4
Обсяг утворених відходів,Одеська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,602600.0,647500.0,739900.0,728500.0,638800.0,,,,237500.0,,6
Обсяг утворених відходів,Чернівецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,208900.0,,155800.0,105600.0,78500.0,4
Обсяг утворених відходів,Чернігівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,866600.0,719600.0,732000.0,716600.0,695200.0,,,,387900.0,,6
Обсяг утворених відходів,Сумська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,100400.0,120900.0,132500.0,138100.0,139600.0,,,,26500.0,,6
Обсяг утворених відходів,Рівненська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,842500.0,712600.0,457100.0,483700.0,519200.00000000006,,,,509600.0,,6
Обсяг утворених відходів,Чернівецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,208900.0,,155700.0,105500.0,78400.0,4
Обсяг утворених відходів,Сумська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,739600.0,551700.0,447900.0,714100.0,724200.0,,,,525700.0,,6
Обсяг утворених відходів,Рівненська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,885500.0,,569100.0,487200.0,551000.0,4
Обсяг утворених відходів,Черкаська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,1178500.0,1218500.0,1294500.0,1483800.0,1258800.0,,,,1537600.0,,6
Обсяг утворених відходів,Полтавська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,28700.0,,22700.0,38800.0,11400.0,4
Обсяг утворених відходів,Тернопільська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,8300.0,,14000.0,200.0,5200.0,4
Обсяг утворених відходів,Тернопільська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,808900.0,862200.0,1905800.0,1651800.0,1062600.0,,,,1453200.0,,6
Обсяг утворених відходів,Одеська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,2500.0,,600.0,700.0,1200.0,4
Обсяг утворених відходів,Чернігівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,500.0,,200.0,500.0,400.0,4
Обсяг утворених відходів,Херсонська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,22900.0,,500.0,200.0,0.0,4
Обсяг утворених відходів,Чернігівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,867300.0,720600.0,732700.0,717400.0,695900.0,,,,389100.0,,6
Обсяг утворених відходів,Хмельницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,700.0,,1900.0,1500.0,5400.0,4
Обсяг утворених відходів,Чернівецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,398000.0,388400.0,368900.0,307900.0,318600.0,,,,121700.0,,6
Обсяг утворених відходів,Одеська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,3400.0,8100.0,2600.0,1900.0,2000.0,,,,1800.0,,6
Обсяг утворених відходів,Миколаївська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,2243500.0,2303600.0,2311600.0,2388700.0,2308500.0,,,,294600.0,,6
Обсяг утворених відходів,Полтавська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,52500.0,51400.0,75500.0,100900.0,79900.0,,,,43900.0,,6
Обсяг утворених відходів,Львівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,2951800.0,2771700.0,2480500.0,2136600.0,2043000.0,,,,1536300.0,,6
Обсяг утворених відходів,Луганська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,2545900.0,2449300.0,637600.0,550800.0,437600.0,,,,200.0,,6
Обсяг утворених відходів,Чернівецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,100.0,100.0,100.0,100.0,100.0,,,,100.0,,6
Обсяг утворених відходів,Луганська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,2500.0,7100.0,6400.0,6700.0,5800.0,,,,,,5
Обсяг утворених відходів,Миколаївська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,2468500.0,,542500.0,299200.0,304200.0,4
Обсяг утворених відходів,Харківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,1636900.0,1891100.0,1751000.0,1568100.0,1702800.0,,,,965000.0,,6
Обсяг утворених відходів,Полтавська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,98051300.0,,40552100.0,22925200.0,42888100.0,4
Обсяг утворених відходів,Львівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,3119900.0,,2492100.0,2856100.0,2172900.0,4
Обсяг утворених відходів,Тернопільська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,279900.0,,315600.0,1434900.0,516799.99999999994,4
Обсяг утворених відходів,Харківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,31800.0,,7800.0,12100.0,3100.0,4
Обсяг утворених відходів,Львівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,1200.0,,800.0,1500.0,1500.0,4
Обсяг утворених відходів,Хмельницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,500900.0,,801700.0,826600.0,1074300.0,4
Обсяг утворених відходів,Харківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,74500.0,61500.0,52400.0,60400.0,49500.0,,,,34700.0,,6
Обсяг утворених відходів,Харківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,1456000.0,,628800.0,741300.0,736800.0,4
Обсяг утворених відходів,Херсонська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,90800.0,,4700.0,3700.0,142500.0,4
Обсяг утворених відходів,Полтавська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,4431700.0,5421200.0,35121800.0,19825700.0,97442800.0,,,,23143700.0,,6
Обсяг утворених відходів,Херсонська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,417300.0,388700.0,399800.0,392500.0,375900.0,,,,5300.0,,6
Обсяг утворених відходів,Луганська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,2548400.0,2456400.0,644000.0,557500.0,443400.0,,,,200.0,,6
Обсяг утворених відходів,Хмельницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,960900.0,1299600.0,928200.0,900500.0,900400.0,,,,898400.0,,6
Обсяг утворених відходів,Київ,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,44200.0,,37200.0,55600.0,25800.0,4
Обсяг утворених відходів,Київ,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,6000.0,7100.0,7100.0,6400.0,4600.0,,,,6700.0,,6
Обсяг утворених відходів,Київ,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,3110200.0,,3345600.0,2591300.0,2645700.0,4
Обсяг утворених відходів,Київ,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,1604300.0,1661600.0,943200.0,967300.0,994500.0,,,,1587400.0,,6
Обсяг утворених відходів,Київ,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,1610300.0,1668700.0,950300.0,973700.0,999100.0,,,,1594100.0,,6
Обсяг утворених відходів,Київ,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,3154400.0,,3382800.0,2646900.0,2671500.0,4
