indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Виробництво напоїв,939200.0,646400.0,394200.0,447400.0,,325800.0,,272000.0,452800.0,360700.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Будівництво,1100.0,700.0,1700.0,1700.0,,200.0,,300.0,500.0,5400.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Інші види економічної діяльності,40300.0,43800.0,30900.0,22400.0,,,,13400.0,21100.0,20900.0,7
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,"Забір, очищення та постачання води",397200.0,238700.0,238700.0,208200.0,,216200.0,,127400.0,151400.0,181400.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи від медичної допомоги та біологічні,900.0,700.0,600.0,700.0,900.0,1100.0,1500.0,1400.0,1800.0,9500.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,"Постачання електроенергії, газу, пари та кондиційованого повітря",6591100.0,6180800.0,6180800.0,6302300.0,,5319200.0,,3153000.0,3385100.0,2599500.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи чорних металів,3396700.0,3706000.0,3556000.0,3402200.0,2801400.0,2491900.0,2657900.0,627800.0,526100.0,374600.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),"Відходи кислот, лугів чи солей",384900.0,278600.0,213100.0,375400.0,399500.0,392700.0,487300.0,151800.0,117400.0,4800.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Добувна промисловість і розроблення кар'єрів,37600.0,30000.0,39600.0,39500.0,,30000.0,,16100.000000000002,16100.000000000002,15700.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Гумові відходи,22900.0,20300.0,26400.0,21900.0,19500.0,19900.0,22300.0,14500.0,16500.0,33200.0,10
